time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,ag,,,,-9.823794359
139.490469,0.010817,-0.019152,-0.007182,-9.757944,-9.757965,0,-0.003195,0,99267.61,25.97,0.065829359,0.071302,,,,
139.501708,0.011239,0.028728,-0.014364,-9.76752,-9.767573,0.003195,-0.00426,0.00213,99270.1,25.97,0.056221359,0.061694,,,,
139.512812,0.011104,-0.062244,-0.009576,-9.79146,-9.791663,0.003195,-0.00639,0.00213,99270.1,25.97,0.032131359,0.037604,,,,
139.524009,0.011197,-0.019152,-0.014364,-9.83934,-9.839369,0,-0.003195,0,99270.1,25.97,-0.015574641,-0.010102,,,,
139.535277,0.011268,-0.028728,-0.019152,-9.841734,-9.841795,0.00213,-0.005325,0,99270.1,25.97,-0.018000641,-0.012528,,,,
139.546618,0.011341,0.016758,-0.079002,-9.817794,-9.818126,0,-0.003195,0,99270.1,25.97,0.005668359,0.011141,,,,
139.557654,0.011036,0.007182,-0.057456,-9.829764,-9.829935,0.001065,-0.00426,0.001065,99270.1,25.97,-0.006140641,-0.000668,,,,
139.568707,0.011053,0.021546,-0.074214,-9.856098,-9.856401,0.001065,-0.00852,-0.001065,99270.1,25.97,-0.032606641,-0.027134,,,,
139.580478,0.011771,-0.002394,-0.102942,-9.870462,-9.870999,0.001065,-0.003195,0.001065,99270.1,25.97,-0.047204641,-0.041732,,,,
139.591166,0.010687,0.043092,-0.146034,-9.834552,-9.835731,0,-0.00213,-0.001065,99270.1,25.97,-0.011936641,-0.006464,,,,
139.602323,0.011157,-0.08379,-0.100548,-9.786672,-9.787547,0.00213,-0.00852,0.001065,99270.1,25.97,0.036247359,0.04172,,,,
139.613535,0.011212,-0.01197,-0.126882,-9.801036,-9.801865,-0.003195,0.001065,0,99270.1,25.97,0.021929359,0.027402,,,,
139.624743,0.011207,-0.002394,-0.148428,-9.769914,-9.771042,0.005325,-0.00426,0.001065,99272.64,25.97,0.052752359,0.058225,,,,
139.635831,0.011088,-0.062244,-0.110124,-9.836946,-9.837759,-0.00213,-0.00213,0.003195,99272.64,25.97,-0.013964641,-0.008492,,,,
139.647146,0.011315,-0.021546,0.004788,-9.801036,-9.801061,0.003195,-0.005325,0.00426,99272.64,25.97,0.022733359,0.028206,,,,
139.658381,0.011235,-0.055062,-0.16758,-9.913554,-9.915123,0.00426,-0.009585,0.00213,99272.64,25.97,-0.091328641,-0.085856,,,,
139.669549,0.011168,0.009576,-0.146034,-9.846522,-9.84761,-0.001065,-0.003195,0.00213,99272.64,25.97,-0.023815641,-0.018343,,,,
139.680655,0.011106,-0.055062,-0.177156,-9.903978,-9.905715,0.005325,-0.005325,0.00213,99272.64,25.97,-0.081920641,-0.076448,,,,
139.692501,0.011846,-0.069426,-0.16758,-9.834552,-9.836225,0.003195,-0.00426,0.001065,99275.22,25.97,-0.012430641,-0.006958,,,,
139.702955,0.010454,-0.07182,-0.117306,-9.813006,-9.81397,0,-0.00426,0.00213,99275.22,25.97,0.009824359,0.015297,,,,
139.714203,0.011248,-0.02394,-0.057456,-9.8154,-9.815597,0.001065,-0.00426,0.00426,99275.22,25.97,0.008197359,0.01367,,,,
139.725324,0.011121,-0.093366,-0.10773,-9.769914,-9.770954,0.00213,-0.003195,0.003195,99275.22,25.97,0.052840359,0.058313,,,,
139.736488,0.011164,-0.055062,-0.067032,-9.82737,-9.827753,0.00213,-0.007455,0.00213,99275.22,25.97,-0.003958641,0.001514,,,,
139.748337,0.011849,-0.038304,-0.03591,-9.834552,-9.834692,0.001065,-0.00426,0.001065,99277.76,25.97,-0.010897641,-0.005425,,,,
139.758914,0.010578,-0.04788,-0.004788,-9.844128,-9.844246,0.005325,-0.005325,0.001065,99277.76,25.97,-0.020451641,-0.014979,,,,
139.770097,0.011183,-0.045486,-0.055062,-9.805824,-9.806084,0,-0.003195,0.001065,99277.76,25.97,0.017710359,0.023183,,,,
139.781341,0.011244,-0.033516,-0.064638,-9.834552,-9.834822,0.00426,-0.005325,0.00213,99277.76,25.97,-0.011027641,-0.005555,,,,
139.792423,0.011082,-0.021546,-0.040698,-9.810612,-9.81072,0.00213,-0.00426,0.00426,99277.76,25.97,0.013074359,0.018547,,,,
139.803817,0.011394,-0.01197,0.004788,-9.8154,-9.815408,0.003195,-0.00639,0,99277.76,25.97,0.008386359,0.013859,,,,
139.815208,0.011391,-0.04788,-0.07182,-9.853704,-9.854082,0.001065,-0.00639,0,99280.47,25.97,-0.030287641,-0.024815,,,,
